X,Y,Group,FEATURE_ID,CODE,NAME,ADDRESS,XCOORD,YCOORD,Long,Lat
-122.194966855241,47.6155218202695,1,500005,500,Bellevue Transit Center,NE 6th St & 108th Ave NE,1304598,227494.578,-122.19496852,47.61551976
-122.203693065692,47.6760355637958,2,500003,500,Kirkland Transit Center,3rd St & Kirkland Ave.,1302839.125,249602.609,-122.20369447,47.67603354
-122.327303728696,47.7020199611356,3,500004,500,Northgate Transit Center,NE 102nd St & 1st Ave NE,1272576.25,259645.734,-122.32730505,47.70201817
-122.208100563859,47.4804386201901,4,500007,500,Renton Transit Center,Burnett Ave S btwn S 2nd St & S 3rd St,1300479,178286.406,-122.20810287,47.48043657
-122.062979465818,47.5420146398558,5,500010,500,Issaquah Transit Center,1050 17th Ave NW,1336718.624,200137.106,-122.0629814,47.54201226
-122.23102561882,47.3065284819908,6,500011,500,Auburn Transit Center,1st St SW & A St SW,1293658.881,114962.442,-122.23102891,47.30652649
-122.181034116415,47.7148979093155,7,500001,500,Totem Lake Transit Center,NE 128th St & 120th Ave NE,1308668.645,263677.534,-122.18103532,47.71489585
-122.341285091842,47.7742879819492,8,500002,500,Aurora Village Transit Center,N 200th St & Highway 99,1269650.75,286068.813,-122.34128613,47.77428634
-122.133189076273,47.6441542343234,9,500008,500,Overlake Transit Center,15590 NE 36th St,1320009.125,237673.734,-122.13319057,47.64415207
-122.338829091322,47.4692550333554,10,500012,500,Burien Transit Center,209 SW 148th St,1268078,174812.719,-122.33883148,47.4692532
-122.297373933629,47.5775970082595,11,581005,500,Mt Baker Transit Center,Rainier Ave S & S Forest St,1279081.2,214127.114,-122.29737581,47.57759513
-122.30499113264,47.3175885893408,12,500006,500,Federal Way Transit Center,31621 23rd Ave S,1275387.875,119338.172,-122.30499436,47.31758675
-122.124710109428,47.6767352933968,13,500009,500,Redmond Transit Center,16300 NE 83rd St,1322298.367,249521.328,-122.12471145,47.67673313