States, FIPS,RateAll,Count,RateWhite,RateWHis,RateWNonHis,RateBlack,RateAIAN,RateAPI,RateHispanic
Alabama,1,21.5,700,19.9,* ,20.1,27.1,* ,* ,* 
Alaska,2,18.8,64,18.6,* ,18.9,* ,23.5,11.3,* 
Arizona,4,18.5,820,18.8,14.6,19.4,24.5,9.9,12.9,14.1
Arkansas,5,20.3,400,19,9.8,19.1,29.9,* ,* ,10
California,6,19.3,4478,20.1,14.7,22,28.8,8.1,12.9,13.9
Colorado,8,18.9,595,19.2,18.3,19.3,24.5,14.1,7.1,17.3
Connecticut,9,17.4,446,17.3,13.9,17.5,20.9,* ,7.9,12.6
Delaware,10,21.4,144,21,* ,21.3,25.8,* ,* ,* 
District of Columbia,11,26.2,98,14.7,* ,16,33.8,* ,* ,* 
Florida,12,18.8,2916,18.1,14.6,19.2,24,10.9,10,14.3
Georgia,13,21.6,1285,19.4,11,19.8,27.5,* ,10.4,10.6
Hawaii,15,16.1,157,20.6,21.7,20.6,* ,* ,14.8,22.4
Idaho,16,21.5,215,21.8,10,22.4,* ,* ,* ,10
Illinois,17,21,1740,20.1,12,20.9,30.3,* ,11.1,11.4
Indiana,18,20.8,882,20.3,14.8,20.5,27.8,* ,8.2,14.3
Iowa,19,18.6,397,18.6,11.2,18.7,19.9,* ,13.7,10.5
Kansas,20,19.8,370,19.5,13.3,19.7,27.8,27.9,* ,12.4
Kentucky,21,21,604,20.7,15.8,20.8,25.9,* ,* ,14.5
Louisiana,22,22.8,658,19.7,9.7,20.1,30.8,* ,11.1,8.8
Maine,23,18,189,17.9,* ,17.9,* ,* ,* ,* 
Maryland,24,21.7,842,19.7,12.2,20.1,27.9,* ,10.4,10.9
Massachusetts,25,17.3,816,17.6,13.1,17.5,17.7,* ,8.8,11.6
Michigan,26,20.8,1406,20,13.8,20.1,28.9,11.2,8.5,14
Minnesota,27,17.7,631,17.7,9.8,17.9,21.7,17.1,6.6,9.2
Mississippi,28,23.2,441,19.6,* ,19.8,30.5,* ,* ,* 
Missouri,29,20.9,860,19.9,9.9,20.1,30.2,* ,12.3,9.8
Montana,30,18.9,135,18.8,* ,18.9,* ,21.3,* ,* 
Nebraska,31,19.6,239,19.6,* ,20.1,25.6,* ,* ,* 
Nevada,32,21.6,365,21.3,12.6,23.3,30.2,* ,17.5,12.1
New Hampshire,33,18.3,175,18.6,* ,18.7,* ,* ,* ,* 
New Jersey,34,20.9,1274,20.5,14.3,21.3,28.2,* ,10.4,13.1
New Mexico,35,19.7,269,20.8,17.8,22.8,19.5,11.5,* ,17.3
New York,36,19.1,2548,19,16,19.2,23.1,4.5,10.1,13.4
North Carolina,37,20.9,1376,19.4,12.5,19.6,26.7,18.6,10.8,11.6
North Dakota,38,18,82,18.3,* ,18.3,* ,* ,* ,* 
Ohio,39,21.9,1746,21.3,11.8,21.4,28.4,* ,11.5,11.4
Oklahoma,40,22.7,551,22.4,13.6,22.8,30.3,21.2,11,12.5
Oregon,41,19.7,541,20,12.9,20.3,25,17.3,11.2,12.7
Pennsylvania,42,21,1980,20.4,13.7,20.5,29.5,* ,9.9,12.1
Rhode Island,44,17.6,133,17.4,12.6,17.7,20.1,* ,* ,10.2
South Carolina,45,21.6,715,19.7,8,20,27.3,* ,13.2,7.2
South Dakota,46,18.9,106,19,* ,19,* ,18.8,* ,* 
Tennessee,47,22,955,20.7,15.1,20.8,30.3,* ,12.9,13.9
Texas,48,19.8,2932,19.2,15.7,20.6,28.1,4.7,10.5,15.2
Utah,49,20.1,272,20.1,14,20.5,* ,* ,17.4,13.3
Vermont,50,18,83,18,* ,18.2,* ,* ,* ,* 
Virginia,51,21.5,1136,20.6,11.3,21,28.3,* ,9.8,10.6
Washington,53,19.7,882,20.3,13,20.5,21.6,19.9,11.8,12.9
West Virginia,54,21.9,293,21.8,* ,21.9,31.7,* ,* ,* 
Wisconsin,55,18.8,729,18.6,8.1,18.9,27.6,11.2,8.7,7.6
Wyoming,56,18.2,64,18.2,* ,18.6,* ,* ,* ,* 